Study,Model,Strain,Comparison,Outcome,N
AMIRI  2016,Behavioural early life stress (e.g. maternal separation),Other,selegiline  1 mg/kg,Sucrose preference test,12
"""","""","""",selegiline  3 mg/kg,Sucrose preference test,24
"""","""","""",selegiline  5 mg/kg,Sucrose preference test,12
BORGES  2013,Pharmacological early life stress (e.g. maternal immune challenge),Wistar (rat),L-DOPA  24 mg/kg,DOPAC concentration,20
"""","""","""","""",Dopamine concentration,20
"""","""","""","""",Sucrose preference test,14
CARRATAL  2023,Pharmacological post-weaning (e.g. cytokine or cortisol injection),CD-1 (mouse),buproprion  10 mg/kg,Sucrose preference test,2208
FATIMA  2020,Chronic unpredictable mild stress (CMS) or restraint stress,Wistar (rat),ropinirole  10 mg/kg,Other,24
"""","""","""","""",Sucrose preference test,12
MUSCAT  1992,Chronic unpredictable mild stress (CMS) or restraint stress,Lister hooded (rat),quinpirole  200 ug/kg,Sucrose preference test,40
OSACKA  2022,Chronic unpredictable mild stress (CMS) or restraint stress,Sprague-dawley (rat),aripiprazole  10 mg/kg,Sucrose preference test,22
PAPP  1993,Chronic unpredictable mild stress (CMS) or restraint stress,Lister hooded (rat),quinpirole  100 ug/kg,Sucrose preference test,256
"""","""","""",quinpirole  200 ug/kg,Sucrose preference test,256
"""","""","""",quinpirole  400 ug/kg,Sucrose preference test,256
"""","""",Wistar (rat),D-amphetamine  0.5 mg/kg,Sucrose preference test,60
"""","""","""",D-amphetamine  1.5 mg/kg,Sucrose preference test,48
"""","""","""",imipramine  10 mg/kg,Sucrose preference test,108
QIAO  2020,Chronic unpredictable mild stress (CMS) or restraint stress,Sprague-dawley (rat),dopamine  3.83 ug,Sucrose preference test,24
"""","""","""",quinpirole  0.877 ug,Sucrose preference test,24
RANA  2014,Chronic unpredictable mild stress (CMS) or restraint stress,Wistar (rat),aripiprazole  2.5 mg/kg,Sucrose preference test,128
RUSSO  2013,Genetic model of depression (e.g. transgenic models  Flinder's Sensitive Line (FSL)),Other,aripiprazole  0.3 mg/kg,Sucrose preference test,20
"""","""","""",aripiprazole  1 mg/kg,Sucrose preference test,20
"""","""","""",aripiprazole  3 mg/kg,Sucrose preference test,20
STAMFORD  1991,Chronic unpredictable mild stress (CMS) or restraint stress,Lister hooded (rat),imipramine  5 mg/kg,Dopamine concentration,72
"""","""","""","""",Sucrose preference test,54
TAN  2015,Surgical models (e.g. olfactory bulbectomy),Sprague-dawley (rat),amantadine  135 mg/kg,DOPAC concentration,112
"""","""","""","""",Dopamine concentration,112
"""","""","""","""",Sucrose preference test,56
"""","""","""",amantadine  45 mg/kg,DOPAC concentration,112
"""","""","""","""",Dopamine concentration,112
"""","""","""","""",Sucrose preference test,56
TOMAZ  2020,Pharmacological post-weaning (e.g. cytokine or cortisol injection),Wistar (rat),tranylcypromine  10 mg/kg,Sucrose preference test,16
WANG  2021,Chronic unpredictable mild stress (CMS) or restraint stress,C57BL/6 (mouse),cryptotanshinone  20 mg/kg,Sucrose preference test,16
WEI  2021,Chronic unpredictable mild stress (CMS) or restraint stress,C57BL/6J (mouse),pramipexole  1 mg/kg,Sucrose preference test,12
WU  2014,Chronic unpredictable mild stress (CMS) or restraint stress,Sprague-dawley (rat),SKF38393  1.12 ug,Sucrose preference test,12
YAN  2022,Chronic unpredictable mild stress (CMS) or restraint stress,Sprague-dawley (rat),seed extracts of P. orientalis (S4)  10 mg/kg,DA/DOPC ratio,60
"""","""","""","""",Dopamine concentration,60
"""","""","""","""",Sucrose preference test,20
"""","""","""",seed extracts of P. orientalis (S4)  100 mg/kg,DA/DOPC ratio,60
"""","""","""","""",Dopamine concentration,60
"""","""","""","""",Sucrose preference test,20
"""","""","""",seed extracts of P. orientalis (S4)  33 mg/kg,DA/DOPC ratio,60
"""","""","""","""",Dopamine concentration,60
"""","""","""","""",Sucrose preference test,20
