Study,Model,Strain,Outcome,N
"AMIRI, 2016",maternal separation,NMRI,Sucrose preference test,24
"BORGES, 2013",iuGC,Wistar (rat),DOPAC concentration,20
~,~,~,Dopamine concentration,20
~,~,~,Sucrose preference test,14
"BROCCO, 2006",CMS,Wistar (rat),Sucrose preference test,48
"CARRATALA, 2023",Tetrabenzine,CD-1 (mouse),Sucrose preference test,132
"EREN, 2007",CMS,Wistar (rat),Sucrose preference test,16
"EREN, 2014",CUMS,Wistar (rat),Sucrose preference test,16
"FATIMA, 2020",PNS,Wistar (rat),Dopamine receptor biology,24
~,~,~,Sucrose preference test,12
"JIANG, 2014",Defeat,C57BL/6J (mouse),Sucrose preference test,100
"KOO, 2018",MCAO,C57BL/6 (mouse),Sucrose preference test,36
"KRUPINA, 1995",MPTP,Wistar (rat),Sucrose preference test,12
"MUSCAT, 1992",CMS,Lister hooded (rat),Sucrose preference test,20
"OSACKA, 2022",CMS,Sprague-dawley (rat),Sucrose preference test,21
"PAPP, 1993",CUMS,Lister hooded (rat),Sucrose preference test,32
"PAPP, 1994",CMS,Wistar (rat),Dopamine receptor biology,160
~,~,~,Sucrose preference test,20
"PAPP, 1996",CUMS,Wistar (rat),Sucrose preference test,20
~,CUMS 2,~,~,16
"QIAO, 2020",CUS,Sprague-dawley (rat),Dopamine concentration,24
~,~,~,Dopamine receptor biology,24
~,~,~,Sucrose preference test,24
"RANA, 2014",CMS,Swiss albino,Sucrose preference test,12
"STAMFORD, 1991",CUMS,Lister hooded (rat),Dopamine concentration,72
~,~,~,Sucrose preference test,18
"TAN, 2015",TBI,Sprague-dawley (rat),DOPAC concentration,15
~,~,~,Dopamine concentration,15
~,~,~,Sucrose preference test,15
"TOMAZ, 2020",LPS,Wistar (rat),Sucrose preference test,16
"WANG, 2021",CUS,C57BL/6 (mouse),Sucrose preference test,16
"WEI, 2021",CMS,C57BL/6J (mouse),Sucrose preference test,12
"WILLNER, 1994",CUMS,PVG Hooded,Sucrose preference test,44
"WU, 2014",CUMS,Sprague-dawley (rat),Sucrose preference test,12
"YAN, 2022",CUMS,Sprague-dawley (rat),DA/DOPC ratio,60
~,~,~,Dopamine concentration,60
~,~,~,Sucrose preference test,20
"YU, 2016",CUS,Wistar (rat),Sucrose preference test,12
"YUAN, 2011",CUMS,Sprague-dawley (rat),Sucrose preference test,17
"ZHAO, 2018",CMS,Sprague-dawley (rat),Sucrose preference test,20
